!SIL 1.0	SIL
<UNK> 1.0	SPN
lebe 1.0	l e b e 
lewun 1.0	l e w u n 
linnu 1.0	l i n n u 
linta 1.0	l i n t a 
lintamε 1.0	l i n t a m ε 
liɖotetɔ 1.0	l i ɖ o t e t ɔ 
lolwe 1.0	l o l w e 
lomilomi 1.0	l o m i l o m i 
loo 1.0	l o o 
looo 1.0	l o o o 
lulululu 1.0	l u l u l u l u 
lulu 1.0	l u l u 
lulɔ 1.0	l u l ɔ 
lunlun 1.0	l u n l u n 
lehun 1.0	l e h u n 
lehunkɔtɔn 1.0	l e h u n k ɔ t ɔ n 
lehwenu 1.0	l e h w e n u 
leya 1.0	l e y a 
likpanɔ 1.0	l i k p a n ɔ 
limu 1.0	l i m u 
lindɔn 1.0	l i n d ɔ n 
linlɔn 1.0	l i n l ɔ n 
linsyεnsyεn 1.0	l i n s y ε n s y ε n 
litli 1.0	l i t l i 
lodido 1.0	l o d i d o 
lodonu 1.0	l o d o n u 
ludi 1.0	l u d i 
ludinu 1.0	l u d i n u 
luzi 1.0	l u z i 
lɔ 1.0	l ɔ 
lɔdji 1.0	l ɔ d j i 
lɔji 1.0	l ɔ j i 
lɔkpa 1.0	l ɔ k p a 
lɔmlɔ 1.0	l ɔ m l ɔ 
lɔmɔ 1.0	l ɔ m ɔ 
lɔmε 1.0	l ɔ m ε 
lɔn 1.0	l ɔ n 
lɔnba 1.0	l ɔ n b a 
lɔnmɔ 1.0	l ɔ n m ɔ 
lɔnu 1.0	l ɔ n u 
lɔyisi 1.0	l ɔ y i s i 
lɔgbon 1.0	l ɔ g b o n 
lɔjɔ 1.0	l ɔ j ɔ 
lɔti 1.0	l ɔ t i 
lε 1.0	l ε 
lεlo 1.0	l ε l o 
lεn 1.0	l ε n 
lεngbɔ 1.0	l ε n g b ɔ 
lεngbɔhwan 1.0	l ε n g b ɔ h w a n 
lεngbɔhɔntogbo 1.0	l ε n g b ɔ h ɔ n t o g b o 
lεngbɔkpo 1.0	l ε n g b ɔ k p o 
lεngbɔnyitɔ 1.0	l ε n g b ɔ n y i t ɔ 
lεngbɔnyitɔkpo 1.0	l ε n g b ɔ n y i t ɔ k p o 
lεngbɔnyitɔkpogε 1.0	l ε n g b ɔ n y i t ɔ k p o g ε 
lεngbɔvi 1.0	l ε n g b ɔ v i 
lεnsuvi 1.0	l ε n s u v i 
lεvɔjɔ 1.0	l ε v ɔ j ɔ 
lεεn 1.0	l ε ε n 
lεεnkan 1.0	l ε ε n k a n 
lεεnkantin 1.0	l ε ε n k a n t i n 
lεεnkanvɔ 1.0	l ε ε n k a n v ɔ 
lεεnkanvɔxwε 1.0	l ε ε n k a n v ɔ x w ε 
lεεnvɔ 1.0	l ε ε n v ɔ 
lεε 1.0	l ε ε 
lεbo 1.0	l ε b o 
lεbohamati 1.0	l ε b o h a m a t i 
lεca 1.0	l ε c a 
lεcεmu 1.0	l ε c ε m u 
lεdatɔ 1.0	l ε d a t ɔ 
lεdo 1.0	l ε d o 
lεngbεnlεngbεn 1.0	l ε n g b ε n l ε n g b ε n 
lεnnu 1.0	l ε n n u 
lεsin 1.0	l ε s i n 
lεtuciti 1.0	l ε t u c i t i 
lεxi 1.0	l ε x i 
m 1.0	m 
ma 1.0	m a 
maadayi 1.0	m a a d a y i 
maadiya 1.0	m a a d i y a 
maadocee 1.0	m a a d o c e e 
maaduki 1.0	m a a d u k i 
maaka 1.0	m a a k a 
maakatinu 1.0	m a a k a t i n u 
maalati 1.0	m a a l a t i 
maasena 1.0	m a a s e n a 
maaseya 1.0	m a a s e y a 
maaseyahu 1.0	m a a s e y a h u 
maasi 1.0	m a a s i 
maati 1.0	m a a t i 
maayi 1.0	m a a y i 
maaziya 1.0	m a a z i y a 
maaziyahu 1.0	m a a z i y a h u 
macalu 1.0	m a c a l u 
maci 1.0	m a c i 
macinu 1.0	m a c i n u 
madaba 1.0	m a d a b a 
madayi 1.0	m a d a y i 
madiaani 1.0	m a d i a a n i 
madumana 1.0	m a d u m a n a 
madumεεnu 1.0	m a d u m ε ε n u 
madumεnanu 1.0	m a d u m ε n a n u 
madɔni 1.0	m a d ɔ n i 
mafon 1.0	m a f o n 
maga 1.0	m a g a 
magbokɔ 1.0	m a g b o k ɔ 
magibici 1.0	m a g i b i c i 
magidalanu 1.0	m a g i d a l a n u 
magidiεli 1.0	m a g i d i ε l i 
magupiyaci 1.0	m a g u p i y a c i 
magɔgi 1.0	m a g ɔ g i 
mahalati 1.0	m a h a l a t i 
mahu 1.0	m a h u 
majijε 1.0	m a j i j ε 
majiki 1.0	m a j i k i 
majikibloblo 1.0	m a j i k i b l o b l o 
majikiblotɔ 1.0	m a j i k i b l o t ɔ 
majikiwema 1.0	m a j i k i w e m a 
majomajo 1.0	m a j o m a j o 
majεto 1.0	m a j ε t o 
makasi 1.0	m a k a s i 
makeda 1.0	m a k e d a 
makexelɔti 1.0	m a k e x e l ɔ t i 
maki 1.0	m a k i 
makibena 1.0	m a k i b e n a 
makibanayi 1.0	m a k i b a n a y i 
makinadevayi 1.0	m a k i n a d e v a y i 
makipela 1.0	m a k i p e l a 
makpamakpa 1.0	m a k p a m a k p a 
makpo 1.0	m a k p o 
makii 1.0	m a k i i 
mala 1.0	m a l a 
malatimu 1.0	m a l a t i m u 
maleala 1.0	m a l e a l a 
maleca 1.0	m a l e c a 
malecanu 1.0	m a l e c a n u 
mali 1.0	m a l i 
malukicua 1.0	m a l u k i c u a 
malukilamu 1.0	m a l u k i l a m u 
malukiyεli 1.0	m a l u k i y ε l i 
malukamu 1.0	m a l u k a m u 
malukiya 1.0	m a l u k i y a 
malukusi 1.0	m a l u k u s i 
maluluki 1.0	m a l u l u k i 
malulɔti 1.0	m a l u l ɔ t i 
maluti 1.0	m a l u t i 
malin 1.0	m a l i n 
malεmalε 1.0	m a l ε m a l ε 
mama 1.0	m a m a 
mamulee 1.0	m a m u l e e 
man 1.0	m a n 
manahεn 1.0	m a n a h ε n 
manasee 1.0	m a n a s e e 
manaxati 1.0	m a n a x a t i 
manayεnu 1.0	m a n a y ε n u 
mansogbe 1.0	m a n s o g b e 
manywε 1.0	m a n y w ε 
manzoun 1.0	m a n z o u n 
manɔwaxi 1.0	m a n ɔ w a x i 
maria 1.0	m a r i a 
masa 1.0	m a s a 
masayi 1.0	m a s a y i 
masedwani 1.0	m a s e d w a n i 
masedwaninu 1.0	m a s e d w a n i n u 
masetɔgbe 1.0	m a s e t ɔ g b e 
masexwε 1.0	m a s e x w ε 
maslekanu 1.0	m a s l e k a n u 
masɔatεn 1.0	m a s ɔ a t ε n 
masɔgbe 1.0	m a s ɔ g b e 
matana 1.0	m a t a n a 
mataniya 1.0	m a t a n i y a 
mataniyahu 1.0	m a t a n i y a h u 
matata 1.0	m a t a t a 
mateau 1.0	m a t e a u 
matenayi 1.0	m a t e n a y i 
matitia 1.0	m a t i t i a 
matitiahu 1.0	m a t i t i a h u 
matli 1.0	m a t l i 
matlεdi 1.0	m a t l ε d i 
matyasi 1.0	m a t y a s i 
matani 1.0	m a t a n i 
matie 1.0	m a t i e 
matintɔ 1.0	m a t i n t ɔ 
mavɔ 1.0	m a v ɔ 
mavɔmavɔ 1.0	m a v ɔ m a v ɔ 
mavɔmavɔsεntɔ 1.0	m a v ɔ m a v ɔ s ε n t ɔ 
mavɔmavɔxwe 1.0	m a v ɔ m a v ɔ x w e 
mawu 1.0	m a w u 
mawusi 1.0	m a w u s i 
mawusinsεn 1.0	m a w u s i n s ε n 
mawusεn 1.0	m a w u s ε n 
mawusεntɔ 1.0	m a w u s ε n t ɔ 
mawuxo 1.0	m a w u x o 
mawuxojlatɔ 1.0	m a w u x o j l a t ɔ 
mawuxowema 1.0	m a w u x o w e m a 
mawuxoɖɔtɔ 1.0	m a w u x o ɖ ɔ t ɔ 
mawuxɔ 1.0	m a w u x ɔ 
mawuxɔgba 1.0	m a w u x ɔ g b a 
mawuxɔmεzɔ 1.0	m a w u x ɔ m ε z ɔ 
mawuxɔnɔnɔ 1.0	m a w u x ɔ n ɔ n ɔ 
mawuzɔ 1.0	m a w u z ɔ 
mawuzɔwatɔ 1.0	m a w u z ɔ w a t ɔ 
mawɔki 1.0	m a w ɔ k i 
mawɔni 1.0	m a w ɔ n i 
mawɔninu 1.0	m a w ɔ n i n u 
maxalalεli 1.0	m a x a l a l ε l i 
maxalati 1.0	m a x a l a t i 
maxalεvu 1.0	m a x a l ε v u 
maxamaxa 1.0	m a x a m a x a 
maxanayimu 1.0	m a x a n a y i m u 
maxanεεdan 1.0	m a x a n ε ε d a n 
maxawimu 1.0	m a x a w i m u 
maxaziɔti 1.0	m a x a z i ɔ t i 
maxiseya 1.0	m a x i s e y a 
maxla 1.0	m a x l a 
maxlayi 1.0	m a x l a y i 
maxli 1.0	m a x l i 
maxlɔni 1.0	m a x l ɔ n i 
maxati 1.0	m a x a t i 
maxɔlu 1.0	m a x ɔ l u 
mayoo 1.0	m a y o o 
mayookpo 1.0	m a y o o k p o 
mazin 1.0	m a z i n 
maɖumaɖuxɔ 1.0	m a ɖ u m a ɖ u x ɔ 
maɖoblɔ 1.0	m a ɖ o b l ɔ 
maɖoblɔɖowu 1.0	m a ɖ o b l ɔ ɖ o w u 
maɖodogbo 1.0	m a ɖ o d o g b o 
maɖoganɖe 1.0	m a ɖ o g a n ɖ e 
maɖojlε 1.0	m a ɖ o j l ε 
maɖokpodo 1.0	m a ɖ o k p o d o 
maɖota 1.0	m a ɖ o t a 
maɖotaɖe 1.0	m a ɖ o t a ɖ e 
maɖɔnuxwε 1.0	m a ɖ ɔ n u x w ε 
mablu 1.0	m a b l u 
magbo 1.0	m a g b o 
magle 1.0	m a g l e 
mana 1.0	m a n a 
maɖowo 1.0	m a ɖ o w o 
mc 1.0	m c 
mcton 1.0	m c t o n 
me 1.0	m e 
mebi 1.0	m e b i 
mece 1.0	m e c e 
mecesusi 1.0	m e c e s u s i 
mecle 1.0	m e c l e 
meclesunonyinyi 1.0	m e c l e s u n o n y i n y i 
meclesunosi 1.0	m e c l e s u n o s i 
meclesusijije 1.0	m e c l e s u s i j i j e 
mecte 1.0	m e c t e 
medesunosi 1.0	m e d e s u n o s i 
mekanisyεn 1.0	m e k a n i s y ε n 
mekannu 1.0	m e k a n n u 
mekannunino 1.0	m e k a n n u n i n o 
melεdi 1.0	m e l ε d i 
men 1.0	m e n 
menjitɔ 1.0	m e n j i t ɔ 
mensi 1.0	m e n s i 
mesisi 1.0	m e s i s i 
meton 1.0	m e t o n 
mi 1.0	m i 
miam 1.0	m i a m 
micaεli 1.0	m i c a ε l i 
miceali 1.0	m i c e a l i 
miceamu 1.0	m i c e a m u 
micelanu 1.0	m i c e l a n u 
micima 1.0	m i c i m a 
micimana 1.0	m i c i m a n a 
micee 1.0	m i c e e 
micεli 1.0	m i c ε l i 
midlε 1.0	m i d l ε 
midini 1.0	m i d i n i 
midεεε 1.0	m i d ε ε ε 
midεε 1.0	m i d ε ε 
mifukadi 1.0	m i f u k a d i 
migidaluedεε 1.0	m i g i d a l u e d ε ε 
migidalugadi 1.0	m i g i d a l u g a d i 
migidalusikεmunu 1.0	m i g i d a l u s i k ε m u n u 
migidaluεlu 1.0	m i g i d a l u ε l u 
migidɔlu 1.0	m i g i d ɔ l u 
miglɔni 1.0	m i g l ɔ n i 
mii 1.0	m i i 
mika 1.0	m i k a 
mikali 1.0	m i k a l i 
mikaya 1.0	m i k a y a 
mikayahu 1.0	m i k a y a h u 
mikayehu 1.0	m i k a y e h u 
mikaεli 1.0	m i k a ε l i 
mikinεyahu 1.0	m i k i n ε y a h u 
mikli 1.0	m i k l i 
miklɔti 1.0	m i k l ɔ t i 
mikokulietinkan 1.0	m i k o k u l i e t i n k a n 
mikumasi 1.0	m i k u m a s i 
mikumasinu 1.0	m i k u m a s i n u 
mikumεtati 1.0	m i k u m ε t a t i 
milalayi 1.0	m i l a l a y i 
miliamu 1.0	m i l i a m u 
milo 1.0	m i l o 
miluka 1.0	m i l u k a 
milukɔmu 1.0	m i l u k ɔ m u 
milεε 1.0	m i l ε ε 
milε 1.0	m i l ε 
mima 1.0	m i m a 
miman 1.0	m i m a n 
mimi 1.0	m i m i 
mimɔ 1.0	m i m ɔ 
mimε 1.0	m i m ε 
min 1.0	m i n 
mina 1.0	m i n a 
minde 1.0	m i n d e 
minirezo 1.0	m i n i r e z o 
minsi 1.0	m i n s i 
mion 1.0	m i o n 
miseaa 1.0	m i s e a a 
misilayimu 1.0	m i s i l a y i m u 
misipa 1.0	m i s i p a 
misipaa 1.0	m i s i p a a 
misipee 1.0	m i s i p e e 
misipεlεti 1.0	m i s i p ε l ε t i 
mislayimu 1.0	m i s l a y i m u 
mislefɔtimayimu 1.0	m i s l e f ɔ t i m a y i m u 
mitika 1.0	m i t i k a 
mitilεnu 1.0	m i t i l ε n u 
mitlεdati 1.0	m i t l ε d a t i 
mito 1.0	m i t o 
miton 1.0	m i t o n 
mitɔn 1.0	m i t ɔ n 
mivusaa 1.0	m i v u s a a 
mivusamu 1.0	m i v u s a m u 
mivaa 1.0	m i v a a 
miyamini 1.0	m i y a m i n i 
miya 1.0	m i y a 
miziza 1.0	m i z i z a 
mizii 1.0	m i z i i 
miɖee 1.0	m i ɖ e e 
miεn 1.0	m i ε n 
mlamla 1.0	m l a m l a 
mla 1.0	m l a 
mlanyi 1.0	m l a n y i 
mli 1.0	m l i 
mlimli 1.0	m l i m l i 
mlu 1.0	m l u 
mlumlu 1.0	m l u m l u 
mlɔ 1.0	m l ɔ 
mlε 1.0	m l ε 
mlεn 1.0	m l ε n 
mlεlεn 1.0	m l ε l ε n 
mo 1.0	m o 
mohun 1.0	m o h u n 
mojeme 1.0	m o j e m e 
mon 1.0	m o n 
monhounjemen 1.0	m o n h o u n j e m e n 
mu 1.0	m u 
muci 1.0	m u c i 
mukokulitinkan 1.0	m u k o k u l i t i n k a n 
mumu 1.0	m u m u 
munasɔɔn 1.0	m u n a s ɔ ɔ n 
mupimu 1.0	m u p i m u 
my 1.0	m y 
mya 1.0	m y a 
myamya 1.0	m y a m y a 
myo 1.0	m y o 
myɔ 1.0	m y ɔ 
myɔdotin 1.0	m y ɔ d o t i n 
myɔkpa 1.0	m y ɔ k p a 
myɔkpo 1.0	m y ɔ k p o 
myɔkpokpe 1.0	m y ɔ k p o k p e 
myɔkan 1.0	m y ɔ k a n 
myɔnɔ 1.0	m y ɔ n ɔ 
myɔtagbεnkan 1.0	m y ɔ t a g b ε n k a n 
myɔtin 1.0	m y ɔ t i n 
myɔxwi 1.0	m y ɔ x w i 
myɔɖε 1.0	m y ɔ ɖ ε 
myɔmyɔ 1.0	m y ɔ m y ɔ 
mevivle 1.0	m e v i v l e 
mitin 1.0	m i t i n 
mitindɔ 1.0	m i t i n d ɔ 
mitɔ 1.0	m i t ɔ 
miilu 1.0	m i i l u 
miima 1.0	m i i m a 
miiti 1.0	m i i t i 
miititin 1.0	m i i t i t i n 
mila 1.0	m i l a 
milami 1.0	m i l a m i 
minu 1.0	m i n u 
mɔ 1.0	m ɔ 
mɔdokayi 1.0	m ɔ d o k a y i 
mɔhun 1.0	m ɔ h u n 
mɔhunkɔ 1.0	m ɔ h u n k ɔ 
mɔkan 1.0	m ɔ k a n 
mɔlada 1.0	m ɔ l a d a 
mɔlidi 1.0	m ɔ l i d i 
mɔliya 1.0	m ɔ l i y a 
mɔlee 1.0	m ɔ l e e 
mɔlεki 1.0	m ɔ l ε k i 
mɔlεcεtinu 1.0	m ɔ l ε c ε t i n u 
mɔlεkεti 1.0	m ɔ l ε k ε t i 
mɔn 1.0	m ɔ n 
mɔnujε 1.0	m ɔ n u j ε 
mɔsa 1.0	m ɔ s a 
mɔsela 1.0	m ɔ s e l a 
mɔselɔti 1.0	m ɔ s e l ɔ t i 
mɔto 1.0	m ɔ t o 
mɔwabu 1.0	m ɔ w a b u 
mɔwabunu 1.0	m ɔ w a b u n u 
mɔwabuto 1.0	m ɔ w a b u t o 
mɔwadia 1.0	m ɔ w a d i a 
mɔyizi 1.0	m ɔ y i z i 
mɔyizisεn 1.0	m ɔ y i z i s ε n 
mɔɖonumε 1.0	m ɔ ɖ o n u m ε 
mɔɖɔ 1.0	m ɔ ɖ ɔ 
mɔhunkɔtɔn 1.0	m ɔ h u n k ɔ t ɔ n 
mɔkpan 1.0	m ɔ k p a n 
mε 1.0	m ε 
mεsi 1.0	m ε s i 
mεtlu 1.0	m ε t l u 
mεtlukpo 1.0	m ε t l u k p o 
mtɔn 1.0	m t ɔ n 
mεblεblε 1.0	m ε b l ε b l ε 
mεblεblεxo 1.0	m ε b l ε b l ε x o 
mεblεtɔ 1.0	m ε b l ε t ɔ 
mεblεɖu 1.0	m ε b l ε ɖ u 
mεblεɖutɔ 1.0	m ε b l ε ɖ u t ɔ 
mεblεɖuxo 1.0	m ε b l ε ɖ u x o 
mεbamε 1.0	m ε b a m ε 
mεca 1.0	m ε c a 
mεcelemiya 1.0	m ε c e l e m i y a 
mεcelemiyahu 1.0	m ε c e l e m i y a h u 
mεcezaveεli 1.0	m ε c e z a v e ε l i 
mεcilemiti 1.0	m ε c i l e m i t i 
mεcilemɔti 1.0	m ε c i l e m ɔ t i 
mεcovavu 1.0	m ε c o v a v u 
mεculamu 1.0	m ε c u l a m u 
mεculεmεti 1.0	m ε c u l ε m ε t i 
mεcyancyan 1.0	m ε c y a n c y a n 
mεcako 1.0	m ε c a k o 
mεcakotɔ 1.0	m ε c a k o t ɔ 
mεcɔtɔ 1.0	m ε c ɔ t ɔ 
mεcɔtɔxɔ 1.0	m ε c ɔ t ɔ x ɔ 
mεcɔkpe 1.0	m ε c ɔ k p e 
mεcεki 1.0	m ε c ε k i 
mεcεkinu 1.0	m ε c ε k i n u 
mεdadi 1.0	m ε d a d i 
mεdani 1.0	m ε d a n i 
mεdi 1.0	m ε d i 
mεdinu 1.0	m ε d i n u 
mεditεlanεε 1.0	m ε d i t ε l a n ε ε 
mεde 1.0	m ε d e 
mεdida 1.0	m ε d i d a 
mεdokpɔn 1.0	m ε d o k p ɔ n 
mεfibaalu 1.0	m ε f i b a a l u 
mεfati 1.0	m ε f a t i 
mεfifa 1.0	m ε f i f a 
mεfisi 1.0	m ε f i s i 
mεfisinu 1.0	m ε f i s i n u 
mεgido 1.0	m ε g i d o 
mεgidonu 1.0	m ε g i d o n u 
mεhuhu 1.0	m ε h u h u 
mεhuhwi 1.0	m ε h u h w i 
mεhulinnyanu 1.0	m ε h u l i n n y a n u 
mεhumani 1.0	m ε h u m a n i 
mεhutɔ 1.0	m ε h u t ɔ 
mεhuyaεli 1.0	m ε h u y a ε l i 
mεhwlεngantɔ 1.0	m ε h w l ε n g a n t ɔ 
mεhwlεngantɔlɔ 1.0	m ε h w l ε n g a n t ɔ l ɔ 
mεjitɔ 1.0	m ε j i t ɔ 
mεjijε 1.0	m ε j i j ε 
mεjɔmε 1.0	m ε j ɔ m ε 
mεjɔmεvi 1.0	m ε j ɔ m ε v i 
mεkanxuxo 1.0	m ε k a n x u x o 
mεkelanu 1.0	m ε k e l a n u 
mεkona 1.0	m ε k o n a 
mεkplɔntɔ 1.0	m ε k p l ɔ n t ɔ 
mεkuku 1.0	m ε k u k u 
mεlajɔti 1.0	m ε l a j ɔ t i 
mεlali 1.0	m ε l a l i 
mεlatia 1.0	m ε l a t i a 
mεlaya 1.0	m ε l a y a 
mεlayɔti 1.0	m ε l a y ɔ t i 
mεlemɔti 1.0	m ε l e m ɔ t i 
mεliba 1.0	m ε l i b a 
mεlibaalu 1.0	m ε l i b a a l u 
mεliku 1.0	m ε l i k u 
mεlodaki 1.0	m ε l o d a k i 
mεlodakibaladani 1.0	m ε l o d a k i b a l a d a n i 
mεlukisedεki 1.0	m ε l u k i s e d ε k i 
mεlavu 1.0	m ε l a v u 
mεlɔmu 1.0	m ε l ɔ m u 
mεlɔnɔtinu 1.0	m ε l ɔ n ɔ t i n u 
mεlɔzu 1.0	m ε l ɔ z u 
mεlεki 1.0	m ε l ε k i 
mεlεdi 1.0	m ε l ε d i 
mεlεsi 1.0	m ε l ε s i 
mεlεwe 1.0	m ε l ε w e 
mεmasigbe 1.0	m ε m a s i g b e 
mεmasixo 1.0	m ε m a s i x o 
mεmaɖomεɖe 1.0	m ε m a ɖ o m ε ɖ e 
mεmukani 1.0	m ε m u k a n i 
mεmɔgbɔ 1.0	m ε m ɔ g b ɔ 
mεmε 1.0	m ε m ε 
mεn 1.0	m ε n 
mεnahεmu 1.0	m ε n a h ε m u 
mεni 1.0	m ε n i 
mεniti 1.0	m ε n i t i 
mεnton 1.0	m ε n t o n 
mεnuhɔtinu 1.0	m ε n u h ɔ t i n u 
mεnyanya 1.0	m ε n y a n y a 
mεnu 1.0	m ε n u 
mεnujlojlo 1.0	m ε n u j l o j l o 
mεnujlotɔ 1.0	m ε n u j l o t ɔ 
mεnuvεmεwu 1.0	m ε n u v ε m ε w u 
mεnuɖiɖɔ 1.0	m ε n u ɖ i ɖ ɔ 
mεnuɖɔtɔ 1.0	m ε n u ɖ ɔ t ɔ 
mεnɖevo 1.0	m ε n ɖ e v o 
mεsaɖutɔ 1.0	m ε s a ɖ u t ɔ 
mεsibatɔ 1.0	m ε s i b a t ɔ 
mεslεtɔ 1.0	m ε s l ε t ɔ 
mεsisi 1.0	m ε s i s i 
mεsiya 1.0	m ε s i y a 
mεsεdo 1.0	m ε s ε d o 
mεsεdonyijεtɔ 1.0	m ε s ε d o n y i j ε t ɔ 
mεsεkpletɔ 1.0	m ε s ε k p l e t ɔ 
mεsεntɔ 1.0	m ε s ε n t ɔ 
mεti 1.0	m ε t i 
mεton 1.0	m ε t o n 
mεtucaεli 1.0	m ε t u c a ε l i 
mεtucεlaxi 1.0	m ε t u c ε l a x i 
mεtafutafu 1.0	m ε t a f u t a f u 
mεtafutɔ 1.0	m ε t a f u t ɔ 
mεtɔn 1.0	m ε t ɔ n 
mεtεninu 1.0	m ε t ε n i n u 
mεtεnkpɔn 1.0	m ε t ε n k p ɔ n 
mεvo 1.0	m ε v o 
mεvunayi 1.0	m ε v u n a y i 
mεvivε 1.0	m ε v i v ε 
mεvivεna 1.0	m ε v i v ε n a 
mεvɔtɔ 1.0	m ε v ɔ t ɔ 
mεwi 1.0	m ε w i 
mεwloɖutɔ 1.0	m ε w l o ɖ u t ɔ 
mεwun 1.0	m ε w u n 
mεwunimu 1.0	m ε w u n i m u 
mεwuzalu 1.0	m ε w u z a l u 
mεwinnyawinnya 1.0	m ε w i n n y a w i n n y a 
mεwɔnɔtayi 1.0	m ε w ɔ n ɔ t a y i 
mεwɔni 1.0	m ε w ɔ n i 
mεxetaveyεli 1.0	m ε x e t a v e y ε l i 
mεxida 1.0	m ε x i d a 
mεxixa 1.0	m ε x i x a 
mεxo 1.0	m ε x o 
mεxoɖutɔ 1.0	m ε x o ɖ u t ɔ 
mεxii 1.0	m ε x i i 
mεxoyixa 1.0	m ε x o y i x a 
mεxoyixaɖiɖo 1.0	m ε x o y i x a ɖ i ɖ o 
mεya 1.0	m ε y a 
mεyaakɔni 1.0	m ε y a a k ɔ n i 
mεyala 1.0	m ε y a l a 
mεyamini 1.0	m ε y a m i n i 
mεyɔnɔtayi 1.0	m ε y ɔ n ɔ t a y i 
mεyɔni 1.0	m ε y ɔ n i 
mεzahavu 1.0	m ε z a h a v u 
mεzopotamii 1.0	m ε z o p o t a m i i 
mεzopotamiinu 1.0	m ε z o p o t a m i i n u 
mεzunzun 1.0	m ε z u n z u n 
mεɔgbe 1.0	m ε ɔ g b e 
mεɔn 1.0	m ε ɔ n 
mεɖaxo 1.0	m ε ɖ a x o 
mεɖaxɔ 1.0	m ε ɖ a x ɔ 
mεɖe 1.0	m ε ɖ e 
mεɖegba 1.0	m ε ɖ e g b a 
mεɖesunɔ 1.0	m ε ɖ e s u n ɔ 
mεɖezɔ 1.0	m ε ɖ e z ɔ 
mεɖeɖovo 1.0	m ε ɖ e ɖ o v o 
mεɖimε 1.0	m ε ɖ i m ε 
mεɖee 1.0	m ε ɖ e e 
mεɖeejiɖuɖe 1.0	m ε ɖ e e j i ɖ u ɖ e 
mεɖeesɔhwe 1.0	m ε ɖ e e s ɔ h w e 
mεɖevo 1.0	m ε ɖ e v o 
mεɖevonu 1.0	m ε ɖ e v o n u 
mεɖebu 1.0	m ε ɖ e b u 
mεɖevonujlojlo 1.0	m ε ɖ e v o n u j l o j l o 
n 1.0	n 
na 1.0	n a 
naala 1.0	n a a l a 
naalani 1.0	n a a l a n i 
naalata 1.0	n a a l a t a 
naalayi 1.0	n a a l a y i 
naama 1.0	n a a m a 
naamu 1.0	n a a m u 
naamani 1.0	n a a m a n i 
naamanu 1.0	n a a m a n u 
naasisi 1.0	n a a s i s i 
nabi 1.0	n a b i 
nabict 1.0	n a b i c t 
nabukodonɔzɔɔ 1.0	n a b u k o d o n ɔ z ɔ ɔ 
nabiɖe 1.0	n a b i ɖ e 
nabɔti 1.0	n a b ɔ t i 
nadabu 1.0	n a d a b u 
nadavu 1.0	n a d a v u 
nafutwaxi 1.0	n a f u t w a x i 
nafutwaxinu 1.0	n a f u t w a x i n u 
nafi 1.0	n a f i 
nafici 1.0	n a f i c i 
nagan 1.0	n a g a n 
naki 1.0	n a k i 
nakli 1.0	n a k l i 
nakigban 1.0	n a k i g b a n 
nakɔni 1.0	n a k ɔ n i 
nambɔ 1.0	n a m b ɔ 
nan 1.0	n a n 
nana 1.0	n a n a 
nantchε 1.0	n a n t c h ε 
nataa 1.0	n a t a a 
natanayεli 1.0	n a t a n a y ε l i 
nataan 1.0	n a t a a n 
natani 1.0	n a t a n i 
navalu 1.0	n a v a l u 
nawe 1.0	n a w e 
naxalalu 1.0	n a x a l a l u 
naxaliyεli 1.0	n a x a l i y ε l i 
naxalɔlu 1.0	n a x a l ɔ l u 
naxibi 1.0	n a x i b i 
naxicɔni 1.0	n a x i c ɔ n i 
naxilayi 1.0	n a x i l a y i 
naxaci 1.0	n a x a c i 
naxamani 1.0	n a x a m a n i 
naxamu 1.0	n a x a m u 
naxati 1.0	n a x a t i 
naxɔɔ 1.0	n a x ɔ ɔ 
nazalεti 1.0	n a z a l ε t i 
nazalεtinu 1.0	n a z a l ε t i n u 
nahun 1.0	n a h u n 
ndje 1.0	n d j e 
ndo 1.0	n d o 
ne 1.0	n e 
nen 1.0	n e n 
newspaper 1.0	n e w s p a p e r 
ngbe 1.0	n g b e 
nhoue 1.0	n h o u e 
ni 1.0	n i 
nibuxazi 1.0	n i b u x a z i 
nigεli 1.0	n i g ε l i 
nikanɔɔ 1.0	n i k a n ɔ ɔ 
nikodεmu 1.0	n i k o d ε m u 
nikolaa 1.0	n i k o l a a 
nikopolisi 1.0	n i k o p o l i s i 
nilu 1.0	n i l u 
nimuci 1.0	n i m u c i 
nimula 1.0	n i m u l a 
nimulodi 1.0	n i m u l o d i 
nimulimu 1.0	n i m u l i m u 
nin 1.0	n i n 
ninen 1.0	n i n e n 
ninivu 1.0	n i n i v u 
ninɔ 1.0	n i n ɔ 
ninɔmε 1.0	n i n ɔ m ε 
nislɔki 1.0	n i s l ɔ k i 
nisaan 1.0	n i s a a n 
nivucani 1.0	n i v u c a n i 
nl 1.0	n l 
no 1.0	n o 
non 1.0	n o n 
nonbe 1.0	n o n b e 
nonvi 1.0	n o n v i 
noten 1.0	n o t e n 
nou 1.0	n o u 
noujlejle 1.0	n o u j l e j l e 
noujlejleton 1.0	n o u j l e j l e t o n 
noukon 1.0	n o u k o n 
noukplon 1.0	n o u k p l o n 
noun 1.0	n o u n 
nounmangbegle 1.0	n o u n m a n g b e g l e 
nouvivi 1.0	n o u v i v i 
nouwinwlan 1.0	n o u w i n w l a n 
nouwe 1.0	n o u w e 
noviche 1.0	n o v i c h e 
